,id,post,lang,reply,ap
853015,at://did:plc:uypytbqy5palhmhbvvezgrww/app.bsky.feed.post/3ktqj2af2dy2f,"(like, seriously, this is fucking hilarious, lol) 

www.washingtonpost.com/politics/202...",en,True,0.5017035
602856,at://did:plc:swxzd3mp3gp2zai6yvizccgm/app.bsky.feed.post/3ktwxxnssz22k,"This motherfucker.....

www.nbcnews.com/politics/202...",en,False,0.50007594
442036,at://did:plc:4pmyhambyaieahbidqtzqqye/app.bsky.feed.post/3kudu3tkgrc2x,"Womp! Womp! 😹

www.nbcnews.com/politics/202...",en,False,0.49991754
1071052,at://did:plc:bdb7ojzgqnht3dtuyz2cno63/app.bsky.feed.post/3kvyw4jm6th2r,"Ah. well, nevertheless www.washingtonpost.com/politics/202...",en,False,0.49987945
937973,at://did:plc:5zbtdfm3c3cumvhhndg2mi6c/app.bsky.feed.post/3kvkd4vb4yc23,"Ya. It was just a shit show. Typical courting the right who were never going to vote for them, angering the progressives and ignoring the center. 

I know there are many tweets & posts from me saying ugh I hate this but I'll still vote for them because...",en,True,0.4969105
2031254,at://did:plc:a6hlgelvam67lmkchsjjmdg2/app.bsky.feed.post/3kvyj6y6qan22,"Yup.  Seeing how it's the day after the debate and the week before a holiday, I'm expecting them to squeeze out some real stinkers today. 

Ugh.",en,True,0.49617958
131009,at://did:plc:fb74jbjkzgxikgieuxt6rtt7/app.bsky.feed.post/3kuh5vpfzpw2m,..   sweet   …   RFK Jr. Could Swing    &  mess  up  the  2024 Election……    this  may  be  fun.    LOL,en,False,0.49585915
1100264,at://did:plc:mlmmqj55ov7vrxqk44f4vmy5/app.bsky.feed.post/3kv7ypwrfos2o,"I find it amazing the news treats this as ""mysterious"" when it seems to happen every election year now: en.wikipedia.org/wiki/Utah_mo...",en,True,0.49583673
875607,at://did:plc:7mah7aaspub4lqray4f4d2lt/app.bsky.feed.post/3kulycxsl222u,"Unfortunately, that's what I was expecting...and next president elections are worrying me too...

www.thepinknews.com/2024/06/10/m...",en,False,0.49574435
1484794,at://did:plc:psyr5i7735ahbef4wcbtnob7/app.bsky.feed.post/3kupzlgl3ir26,That really is an astonishing piece of ... I'm not sure what ... possibly political satire (?!) but probably not,en,True,0.49491993
6302,at://did:plc:tlltsh4aclzjsrvdqvkhi7m2/app.bsky.feed.post/3ktsjuoonwc2b,"And that was a skeet as clear as mud...

Oh well. I'm just getting tired of conservatives yelling ""political"" at anything they don't like.",en,True,0.49445432
792986,at://did:plc:uibhgelzvpiw5jjx7rpsc4hl/app.bsky.feed.post/3kvbw2ass222h,"Again with the obligatory Biden age joke (using a debunked clip, too)... @thedailyshow.bsky.social needs to be better about that...but the rest is brilliant.

📺",en,False,0.49281362
610703,at://did:plc:syeoswfmwysfiz3v7oywbofw/app.bsky.feed.post/3kuban4iuns2p,Sounds about right. Unfortunately it's been made clear by the Dem establishment that we voters have zero say in any of this so....collective shrugs all around🤷‍♀️,en,True,0.49269533
934180,at://did:plc:aaecqq7eo3lvbgtvetsrpsx5/app.bsky.feed.post/3kunwabiwuv2h,"Okay, this is pretty funny.

www.nj.com/politics/202...",en,False,0.49215737
1457106,at://did:plc:efrokemdan2ksfb3qrw4u3ma/app.bsky.feed.post/3ku75vscbsc2r,"NYT HEADLINE: In a blow to the Biden campaign...
www.axios.com/2024/06/05/r...",en,False,0.49164152
735858,at://did:plc:jjstf6whkec2tzmzeeo4usf5/app.bsky.feed.post/3kun3ae57ha2s,"Wow. Just wow.

*Not an election skeet.
**No, not telling you but I had to get it out there.
***No, I'm not sorry about **.",en,False,0.49140403
1241175,at://did:plc:y6euayjatbvg42n5ryjbxhl4/app.bsky.feed.post/3kvxampp2rw2e,"I don't know why I'm watching this, I long ago decided who I'm going to vote for. This is kind of painful, Biden is rambling...",en,True,0.49051648
1032845,at://did:plc:lzlqyldh7nfc34pfffvd24ko/app.bsky.feed.post/3kv5e6z5qgj2s,Prepare for another round of “wokism made me fascist and now  sadly have to vote for trump” quotes from executives www.washingtonpost.com/business/202...,en,False,0.4901014
1363259,at://did:plc:on5rsn5i3ymayuvzguw62dzp/app.bsky.feed.post/3kvr4d5ptom2p,"I see this as a big rehearsal for the bigger picture! They are warming up for November, and thereafter. It's freaking me out every time I post how dangerous this election is for our rights to be taken away... Permanently... If you don't vote blue 💙...",en,True,0.49004897
298451,at://did:plc:ga7gbpwpjzkntbx3glxmxw4w/app.bsky.feed.post/3ktqg374f6e2h,"
Of course, old news by now - but I just had to throw this out there 😀

Although how this man is still allowed to run for President is beyond me

www.thedailybeast.com/trump-trial-...",en,False,0.4900381
